"飯店名稱","飯店URL","飯店圖片","飯店區域","評分","評鑑數量","每晚最低價 (TWD)"
"劍潭青年飯店","https://www.agoda.com/zh-tw/chientan-youth-hotel/hotel/taipei-tw.html?checkIn=2026-06-24&los=1&adults=2&rooms=1&travellerType=1","https://pix8.agoda.net/hotelImages/761551/3514230/b6ffed765572c8a0a937cab24808eac6.jpeg?va=1&ce=2&s=312x235&ar=16x9","士林區, 台北市","8.3","3763","1847"
"三德大飯店","https://www.agoda.com/zh-tw/santos-hotel_4/hotel/taipei-tw.html?checkIn=2026-06-24&los=1&adults=2&rooms=1&travellerType=1","https://pix8.agoda.net/hotelImages/39525447/0/c68eb063f816e4607c4f30e0ae1c7f6f.jpeg?va=1&ce=2&s=312x235&ar=16x9","大同區, 台北市","8.1","4808","1513"
"德立莊酒店","https://www.agoda.com/zh-tw/hotel-midtown-richardson/hotel/taipei-tw.html?checkIn=2026-06-24&los=1&adults=2&rooms=1&travellerType=1","https://pix8.agoda.net/hotelImages/908412/0/227ce0c02f3f48c7ee901b4e8194ce9b.jpeg?va=1&ce=2&s=312x235&ar=16x9","西門町, 台北市","8.1","57710","2097"
"天閣酒店台北劍潭","https://www.agoda.com/zh-tw/the-tango-taipei-jiantan/hotel/taipei-tw.html?checkIn=2026-06-24&los=1&adults=2&rooms=1&travellerType=1","https://pix8.agoda.net/hotelImages/5985833/0/8c9ce49857c21bac659630f0f7b4f050.jpeg?va=1&ce=2&s=312x235&ar=16x9","士林區, 台北市","9.0","4239","2885"
"天閣酒店台北士林","https://www.agoda.com/zh-tw/the-tango-hotel-taipei-shilin/hotel/taipei-tw.html?checkIn=2026-06-24&los=1&adults=2&rooms=1&travellerType=1","https://pix8.agoda.net/hotelImages/178/17896809/17896809_20093012320092516039.jpg?va=1&ca=14&ce=1&s=312x235&ar=16x9","士林區, 台北市","9.0","2099","2697"
"沃田旅店","https://www.agoda.com/zh-tw/mellow-fields-hotel/hotel/taipei-tw.html?checkIn=2026-06-24&los=1&adults=2&rooms=1&travellerType=1","https://pix8.agoda.net/hotelImages/870030/5256213/cc8f4460b073a666b30c5aca6c132318.jpeg?va=1&ce=2&s=312x235&ar=16x9","士林區, 台北市","8.7","6212","2241"
"圓山大飯店","https://www.agoda.com/zh-tw/grand-hotel/hotel/taipei-tw.html?checkIn=2026-06-24&los=1&adults=2&rooms=1&travellerType=1","https://pix8.agoda.net/hotelImages/1885/0/60877add163eef4a2b24464386be349d.jpeg?va=1&ce=2&s=312x235&ar=16x9","中山區, 台北市","8.8","12670","3387"
"台北天成大飯店-台北車站","https://www.agoda.com/zh-tw/cosmos-hotel-taipei/hotel/taipei-tw.html?checkIn=2026-06-24&los=1&adults=2&rooms=1&travellerType=1","https://pix8.agoda.net/hotelImages/4413/0/0ca2193ee57bd6d64e1512d737d0017a.jpeg?va=1&ce=3&s=312x235&ar=16x9","台北車站, 台北市","8.6","20074","2824"
"見潭璞旅","https://www.agoda.com/zh-tw/boutech-meet-jiantan-hotel/hotel/taipei-tw.html?checkIn=2026-06-24&los=1&adults=2&rooms=1&travellerType=1","https://pix8.agoda.net/hotelImages/36796961/0/266003ca5b8fc97f5fc7a2e7710d0fbf.jpeg?va=1&ce=3&s=312x235&ar=16x9","士林區, 台北市","8.8","14563","2009"
"台北凱撒大飯店","https://www.agoda.com/zh-tw/caesar-park-hotel-taipei_6/hotel/taipei-tw.html?checkIn=2026-06-24&los=1&adults=2&rooms=1&travellerType=1","https://pix8.agoda.net/hotelImages/1368/0/b7bd35cea2485bfafca1464d525b4849.jpeg?va=1&s=312x235&ar=16x9","台北車站, 台北市","8.3","28119","2544"
